,age,attrition,business_travel,daily_rate,department,distance_from_home,education,education_field,employee_number,environment_satisfaction,gender,hourly_rate,job_involvement,job_level,job_role,job_satisfaction,marital_status,monthly_income,monthly_rate,num_companies_worked,over18,over_time,percent_salary_hike,performance_rating,relationship_satisfaction,standard_hours,stock_option_level,total_working_years,training_times_last_year,work_life_balance,years_at_company,years_in_current_role,years_since_last_promotion,years_with_current_manager,same_as_monthly_income,date_birth,salary,role_departament,remote_work
0,51.0,False,,684.0,,6,3,,162.0,1,m,51,3,5,research director,3,,19537.0,6462,7,True,False,0.13,3.0,3,,0,,5,3.0,20,,15,15,19537.0,1972,1000000000.0,,True
1,52.0,False,,699.0,,1,4,life sciences,259.0,3,m,65,2,5,manager,3,,19999.0,5678,0,,,0.14,3.0,1,,1,34.0,5,3.0,33,,11,9,19999.0,1971,1000000000.0,,True
2,42.0,False,rarely,532.0,research & development,4,2,technical degree,319.0,3,m,58,3,5,manager,4,married,19232.0,4933,1,,False,0.11,3.0,4,,0,22.0,3,,22,,11,15,19232.0,1981,1000000000.0,research & development,True
3,47.0,False,rarely,359.0,,2,4,medical,,1,f,82,3,4,research director,3,married,17169.0,26703,3,True,,0.19,3.0,2,,2,,2,,20,,5,6,17169.0,1976,1000000000.0,,False
4,46.0,False,,1319.0,,3,3,technical degree,,1,f,45,4,4,sales executive,1,divorced,,7739,2,True,False,0.12,3.0,4,,1,,5,3.0,19,,2,8,,1977,1000000000.0,,False
5,48.0,False,,117.0,research & development,22,3,medical,1900.0,4,f,58,3,4,manager,4,,17174.0,2437,3,,False,0.11,3.0,2,,1,,3,3.0,22,,4,7,17174.0,1975,1000000000.0,research & development,True
6,59.0,False,,1435.0,,25,3,life sciences,81.0,1,f,99,3,3,sales executive,1,,,2354,7,True,,0.11,3.0,4,,0,28.0,3,2.0,21,,7,9,,1964,1000000000.0,,
7,42.0,False,rarely,635.0,,1,1,,387.0,2,m,99,3,2,sales executive,3,married,,24532,1,,False,0.25,4.0,3,,0,20.0,3,3.0,20,,11,6,,1981,1000000000.0,,False
8,41.0,False,,1276.0,,2,5,,,2,f,91,3,4,manager,1,married,16595.0,5626,7,,False,0.16,3.0,2,,1,22.0,2,3.0,18,,11,8,16595.0,1982,1000000000.0,,
9,41.0,False,frequently,840.0,,9,3,,999.0,1,m,64,3,5,research director,3,,,3735,2,,False,0.17,3.0,2,,1,21.0,2,4.0,18,,0,11,,1982,1000000000.0,,False
10,41.0,False,no,247.0,,7,1,,1035.0,2,f,55,1,5,research director,3,,19973.0,20284,1,True,False,0.22,4.0,2,,2,,3,3.0,21,,5,10,19973.0,1982,1000000000.0,,False
11,56.0,False,rarely,1369.0,,23,3,life sciences,,4,m,68,3,4,manufacturing director,2,married,13402.0,18235,4,,True,0.12,,1,,1,33.0,0,3.0,19,,15,9,13402.0,1967,1000000000.0,,False
12,38.0,False,,201.0,,10,3,medical,,2,f,99,1,3,research director,3,married,13206.0,3376,3,True,False,0.12,3.0,1,,1,,3,3.0,18,,1,11,13206.0,1985,1000000000.0,,True
13,41.0,True,rarely,1360.0,,12,3,,58.0,2,f,49,3,5,research director,3,married,19545.0,16280,1,,False,0.12,3.0,4,,0,,0,3.0,22,,15,8,19545.0,1982,1000000000.0,,False
14,55.0,False,,692.0,,14,4,medical,,3,m,61,4,5,research director,2,single,,13339,8,,False,0.11,3.0,4,,0,,3,3.0,24,,2,15,,1968,1000000000.0,,
15,40.0,False,rarely,1398.0,,2,4,,558.0,3,f,79,3,5,manager,3,,18041.0,13022,0,,False,0.14,3.0,4,,0,,2,3.0,20,,1,12,18041.0,1983,1000000000.0,,False
16,58.0,True,rarely,286.0,,2,4,,825.0,4,m,31,3,5,research director,2,single,19246.0,25761,7,True,True,0.12,3.0,4,,0,40.0,2,3.0,31,,13,8,19246.0,1965,1000000000.0,,False
17,46.0,False,rarely,1402.0,,2,3,,,3,f,69,3,4,manager,1,,,24097,8,,,0.23,4.0,1,,0,28.0,2,3.0,26,,15,9,,1977,1000000000.0,,False
18,35.0,False,,819.0,,13,5,life sciences,,2,m,48,4,2,research scientist,1,married,,26312,1,,,0.11,3.0,4,,0,,2,3.0,16,,1,10,,1988,1000000000.0,,False
19,40.0,False,rarely,884.0,,15,3,life sciences,,1,f,80,2,3,manufacturing director,3,,,25800,1,True,,0.13,3.0,4,,2,18.0,2,,18,,14,12,,1983,1000000000.0,,
20,45.0,False,no,1238.0,research & development,1,1,,1712.0,3,m,74,2,3,healthcare representative,3,,10748.0,3395,3,True,,0.23,4.0,4,,1,25.0,3,2.0,23,,14,4,10748.0,1978,1000000000.0,research & development,False
21,33.0,False,,515.0,,1,2,life sciences,73.0,1,f,98,3,3,research director,4,single,,15146,1,,True,0.12,3.0,3,,0,15.0,1,3.0,15,,8,12,,1990,1000000000.0,,
22,36.0,False,,1223.0,,8,3,,,3,f,59,3,3,healthcare representative,3,divorced,,8202,1,True,,0.13,,2,,3,17.0,2,3.0,17,,12,8,,1987,1000000000.0,,True
23,47.0,False,,202.0,,2,2,other,820.0,3,f,33,3,4,manager,4,married,16752.0,12982,1,,,0.11,3.0,3,80.0,1,,3,2.0,26,,3,0,16752.0,1976,1000000000.0,,False
24,36.0,False,rarely,928.0,,42,2,life sciences,,42,m,56,3,2,sales executive,4,,6201.0,2823,1,True,,0.14,3.0,4,,1,18.0,1,,18,,4,11,6201.0,1987,1000000000.0,,
25,35.0,False,,607.0,,9,3,life sciences,,4,f,66,2,3,manufacturing director,3,married,,23457,1,True,True,0.2,4.0,2,80.0,1,17.0,2,3.0,17,,5,15,,1988,1000000000.0,,False
26,52.0,True,,266.0,,2,1,,,1,f,57,1,5,manager,4,married,19845.0,25846,1,True,False,0.15,3.0,4,,1,33.0,3,3.0,32,,6,9,19845.0,1971,1000000000.0,,True
27,36.0,False,,429.0,,2,4,life sciences,1294.0,3,f,53,3,2,manufacturing director,2,single,,2323,9,True,True,0.11,3.0,4,,0,18.0,2,3.0,16,,5,12,,1987,1000000000.0,,False
28,33.0,False,rarely,589.0,,28,4,life sciences,,2,m,79,3,2,laboratory technician,3,married,,22949,1,True,,0.12,3.0,2,,1,15.0,3,3.0,15,,5,7,,1990,1000000000.0,,True
29,34.0,False,no,,sales,10,3,life sciences,1774.0,4,m,87,3,2,sales executive,3,,4001.0,12313,1,True,True,0.14,3.0,3,,1,15.0,3,3.0,15,,0,7,4001.0,1989,1000000000.0,sales,True
30,41.0,False,,,sales,37,1,,1815.0,37,f,81,3,3,sales executive,3,divorced,10447.0,26458,0,,,0.13,3.0,4,,1,,3,4.0,22,,13,5,10447.0,1982,1000000000.0,sales,True
31,,False,,1180.0,research & development,25,3,medical,1993.0,1,m,84,3,3,healthcare representative,3,,,13084,2,,,0.23,4.0,2,,0,25.0,3,3.0,17,,12,11,,1976,1000000000.0,research & development,True
32,53.0,False,rarely,1282.0,,5,3,,32.0,3,f,58,3,5,manager,3,,,10735,4,,,0.11,3.0,4,,1,26.0,3,2.0,14,,4,8,,1970,1000000000.0,,True
33,35.0,False,,776.0,,1,4,marketing,100.0,3,m,32,2,2,sales executive,1,single,,23016,0,True,False,0.14,,2,80.0,0,16.0,2,3.0,15,,2,8,,1988,1000000000.0,,False
34,34.0,False,rarely,665.0,,6,4,other,,1,f,41,3,2,research scientist,3,single,,12482,1,True,,0.14,3.0,3,,0,16.0,3,3.0,16,,2,10,,1989,1000000000.0,,
35,46.0,False,rarely,526.0,,1,2,,244.0,2,f,92,3,3,sales executive,1,divorced,,2137,1,,False,0.25,4.0,3,,3,24.0,2,3.0,24,,15,7,,1977,1000000000.0,,True
36,43.0,False,,1034.0,,16,3,,327.0,4,f,80,3,4,manager,4,married,16064.0,7744,5,,,0.22,4.0,3,,1,22.0,3,3.0,17,,1,9,16064.0,1980,1000000000.0,,True
37,36.0,False,,1403.0,research & development,6,3,life sciences,373.0,4,m,47,3,1,laboratory technician,4,married,3210.0,20251,0,,,0.11,3.0,3,,1,16.0,4,3.0,15,,10,11,3210.0,1987,1000000000.0,research & development,
38,60.0,False,frequently,1499.0,,28,3,,,3,f,80,2,3,sales executive,1,married,10266.0,2845,4,True,False,0.19,3.0,4,,0,22.0,5,4.0,18,13.0,13,11,10266.0,1963,1000000000.0,,True
39,40.0,False,frequently,580.0,,5,4,,729.0,4,m,48,2,3,sales executive,1,married,10475.0,23772,5,,True,0.21,4.0,3,80.0,1,20.0,2,3.0,18,,1,12,10475.0,1983,1000000000.0,,False
40,32.0,False,rarely,859.0,,4,3,,830.0,3,f,98,2,2,manufacturing director,3,married,6162.0,19124,1,True,False,0.12,3.0,3,80.0,1,14.0,3,3.0,14,,6,8,6162.0,1991,1000000000.0,,False
41,41.0,False,rarely,263.0,,35,3,,,35,m,59,3,1,laboratory technician,1,single,4721.0,3119,2,,True,0.13,,3,,0,20.0,3,3.0,18,,2,17,4721.0,1982,1000000000.0,,True
42,53.0,False,,1376.0,,2,2,medical,981.0,3,m,,3,4,manager,3,divorced,,13938,6,,False,0.13,3.0,3,,1,22.0,3,4.0,17,,15,2,,1970,1000000000.0,,False
43,36.0,True,rarely,885.0,,16,4,,1042.0,3,f,43,4,1,laboratory technician,1,single,,8269,1,True,,0.16,3.0,3,80.0,0,18.0,1,3.0,17,,15,14,,1987,1000000000.0,,True
44,46.0,False,,1003.0,,8,4,life sciences,1080.0,4,f,74,2,2,research scientist,1,divorced,4615.0,21029,8,,True,0.23,4.0,1,,3,,2,3.0,16,,1,7,4615.0,1977,1000000000.0,,False
45,38.0,False,rarely,1321.0,,1,4,,1995.0,4,m,86,3,2,sales executive,2,married,,7636,0,,False,0.15,3.0,1,,2,16.0,3,,15,,5,8,,1985,1000000000.0,,True
46,51.0,False,,,,1,4,,145.0,1,f,30,2,3,healthcare representative,1,single,,25796,3,,,0.2,4.0,3,,0,23.0,1,2.0,13,,12,8,,1972,1000000000.0,,
47,43.0,False,,394.0,,26,2,,158.0,3,m,92,3,4,manager,4,married,16959.0,19494,1,,True,0.12,3.0,4,80.0,2,25.0,3,4.0,25,,4,12,16959.0,1980,1000000000.0,,True
48,37.0,False,,1372.0,,1,3,life sciences,391.0,4,f,42,3,1,research scientist,4,single,,15881,1,,False,0.12,3.0,2,80.0,0,,3,3.0,17,,5,7,,1986,1000000000.0,,True
49,32.0,False,rarely,,,8,2,technical degree,436.0,3,f,65,2,2,sales executive,2,married,,24624,1,,True,0.11,3.0,4,80.0,0,,2,3.0,13,12.0,11,9,,1991,1000000000.0,,
50,38.0,False,,1333.0,,1,3,,,4,f,80,3,3,research director,1,married,,16292,1,,,0.13,3.0,2,,1,15.0,3,3.0,15,,5,11,,1985,1000000000.0,,False
51,46.0,False,,228.0,,3,3,life sciences,1527.0,3,f,51,3,4,manager,2,,,11380,8,,False,0.12,3.0,4,80.0,1,23.0,2,4.0,13,,5,1,,1977,1000000000.0,,True
52,35.0,True,rarely,737.0,,10,3,medical,,4,m,55,2,3,sales executive,1,married,10306.0,21530,9,,,0.17,3.0,3,,0,15.0,3,,13,,6,0,10306.0,1988,1000000000.0,,False
53,43.0,False,,823.0,,6,3,medical,1866.0,1,f,81,2,5,manager,3,married,,22539,7,,False,0.13,3.0,4,,0,21.0,2,3.0,16,,6,14,,1980,1000000000.0,,True
54,56.0,False,no,667.0,,1,4,life sciences,2026.0,3,m,57,3,2,healthcare representative,3,divorced,,26236,1,True,False,0.21,,1,,1,,2,2.0,13,,1,9,,1967,1000000000.0,,True
55,36.0,False,no,301.0,,15,4,marketing,,4,m,88,1,2,sales executive,4,divorced,5406.0,10436,1,True,False,0.24,4.0,1,80.0,1,,4,2.0,15,,11,11,5406.0,1987,1000000000.0,,True
56,38.0,False,,573.0,,6,3,medical,107.0,2,f,79,1,2,research scientist,4,,,15717,7,True,,0.12,3.0,4,,3,17.0,3,3.0,13,,1,9,,1985,1000000000.0,,True
57,49.0,False,,,,26,4,medical,170.0,3,f,96,3,2,manufacturing director,1,,,5549,1,,False,0.14,3.0,3,,0,16.0,2,2.0,15,,5,11,,1974,1000000000.0,,False
58,39.0,False,rarely,1329.0,,4,4,life sciences,,4,f,47,2,2,sales executive,3,married,5902.0,14590,4,,,0.14,3.0,3,80.0,1,17.0,1,4.0,15,,5,9,5902.0,1984,1000000000.0,,True
59,40.0,False,,630.0,,4,4,,215.0,3,m,67,2,3,sales executive,4,married,10855.0,8552,7,True,False,0.11,,1,,1,15.0,2,2.0,12,,2,11,10855.0,1983,1000000000.0,,True
60,36.0,False,,,,5,2,,304.0,4,m,62,3,2,laboratory technician,2,single,5914.0,9945,8,True,False,0.16,3.0,4,80.0,0,16.0,3,4.0,13,,3,7,5914.0,1987,1000000000.0,,True
61,37.0,False,,1063.0,,25,5,,529.0,2,f,72,3,2,research scientist,3,married,,23866,3,True,True,0.15,3.0,1,80.0,2,15.0,2,3.0,13,,10,7,,1986,1000000000.0,,False
62,35.0,False,,1017.0,,6,4,,691.0,2,m,82,1,2,research scientist,4,,6646.0,19368,1,True,,0.13,3.0,2,,0,,3,3.0,17,,11,8,6646.0,1988,1000000000.0,,True
63,33.0,False,frequently,1296.0,,6,3,life sciences,692.0,3,m,,3,2,healthcare representative,4,divorced,,5335,3,,False,0.23,4.0,3,,1,15.0,2,1.0,13,,4,7,,1990,1000000000.0,,False
64,50.0,False,rarely,939.0,research & development,24,3,,1005.0,4,m,,3,4,manufacturing director,3,married,13973.0,4161,3,,True,0.18,3.0,4,,1,22.0,2,3.0,12,,1,5,13973.0,1973,1000000000.0,research & development,False
65,48.0,False,rarely,1355.0,,4,4,,1024.0,3,m,78,2,3,healthcare representative,3,single,,22245,7,,,0.14,,2,80.0,0,27.0,3,3.0,15,11.0,4,8,,1975,1000000000.0,,True
66,44.0,False,rarely,1448.0,sales,28,3,,1039.0,4,f,53,4,4,sales executive,4,married,13320.0,11737,3,,,0.18,3.0,3,80.0,1,,2,3.0,12,,11,11,13320.0,1979,1000000000.0,sales,True
67,44.0,False,rarely,200.0,,29,4,,1225.0,4,m,32,3,2,research scientist,4,single,,7744,1,True,,0.25,4.0,2,,0,,3,3.0,20,,13,17,,1979,1000000000.0,,True
68,40.0,False,,1202.0,,25,1,,1375.0,25,f,89,4,2,healthcare representative,3,,,13888,5,,False,0.2,4.0,2,,3,15.0,0,3.0,12,,11,8,,1983,1000000000.0,,
69,34.0,False,rarely,404.0,,2,4,,,3,f,98,3,2,healthcare representative,4,single,6687.0,6163,1,,,0.11,3.0,4,80.0,0,14.0,2,4.0,14,,4,11,6687.0,1989,1000000000.0,,
70,35.0,False,no,208.0,research & development,8,4,,,3,f,52,3,2,healthcare representative,3,,,12250,1,,,0.12,3.0,4,80.0,1,,5,3.0,14,,2,9,,1988,1000000000.0,research & development,
71,50.0,False,,813.0,,17,5,life sciences,,4,f,50,2,3,research director,1,,,21981,5,,False,0.15,3.0,3,,3,,3,3.0,14,11.0,1,11,,1973,1000000000.0,,False
72,49.0,False,,465.0,,6,1,life sciences,1661.0,3,f,41,2,4,healthcare representative,3,,,11652,2,,,0.19,3.0,2,80.0,1,,3,3.0,15,,2,12,,1974,1000000000.0,,True
73,38.0,False,frequently,1189.0,,1,3,life sciences,1668.0,4,m,90,3,2,research scientist,4,,4735.0,9867,7,True,False,0.15,3.0,4,80.0,2,19.0,4,,13,,2,9,4735.0,1985,1000000000.0,,
