,attrition,business_travel,daily_rate,department,distance_from_home,education,education_field,employee_number,environment_satisfaction,gender,hourly_rate,job_involvement,job_level,job_role,job_satisfaction,marital_status,monthly_income,monthly_rate,num_companies_worked,over_time,percent_salary_hike,performance_rating,relationship_satisfaction,stock_option_level,total_working_years,training_times_last_year,work_life_balance,years_at_company,years_since_last_promotion,years_with_current_manager,date_birth,remote_work,grupo
0,False,,684.0,,6,3,,162.0,1.0,m,51.0,3,5,research director,3,,19537.0,6462,7,False,0.13,3.0,3,0,,5,3.0,20,15,15,1972,True,control
1,False,,699.0,,1,4,life sciences,259.0,3.0,m,65.0,2,5,manager,3,,19999.0,5678,0,,0.14,3.0,1,1,34.0,5,3.0,33,11,9,1971,True,control
2,False,rarely,532.0,research & development,4,2,technical degree,319.0,3.0,m,58.0,3,5,manager,4,married,19232.0,4933,1,False,0.11,3.0,4,0,22.0,3,,22,11,15,1981,True,control
3,False,rarely,359.0,,2,4,medical,,1.0,f,82.0,3,4,research director,3,married,17169.0,26703,3,,0.19,3.0,2,2,,2,,20,5,6,1976,False,control
4,False,,1319.0,,3,3,technical degree,,1.0,f,45.0,4,4,sales executive,1,divorced,,7739,2,False,0.12,3.0,4,1,,5,3.0,19,2,8,1977,False,variante
5,False,,117.0,research & development,22,3,medical,1900.0,4.0,f,58.0,3,4,manager,4,,17174.0,2437,3,False,0.11,3.0,2,1,,3,3.0,22,4,7,1975,True,control
6,False,,1435.0,,25,3,life sciences,81.0,1.0,f,99.0,3,3,sales executive,1,,,2354,7,,0.11,3.0,4,0,28.0,3,2.0,21,7,9,1964,,variante
7,False,rarely,635.0,,1,1,,387.0,2.0,m,99.0,3,2,sales executive,3,married,,24532,1,False,0.25,4.0,3,0,20.0,3,3.0,20,11,6,1981,False,control
8,False,,1276.0,,2,5,,,2.0,f,91.0,3,4,manager,1,married,16595.0,5626,7,False,0.16,3.0,2,1,22.0,2,3.0,18,11,8,1982,,variante
9,False,frequently,840.0,,9,3,,999.0,1.0,m,64.0,3,5,research director,3,,,3735,2,False,0.17,3.0,2,1,21.0,2,4.0,18,0,11,1982,False,control
10,False,no,247.0,,7,1,,1035.0,2.0,f,55.0,1,5,research director,3,,19973.0,20284,1,False,0.22,4.0,2,2,,3,3.0,21,5,10,1982,False,control
11,False,rarely,1369.0,,23,3,life sciences,,4.0,m,68.0,3,4,manufacturing director,2,married,13402.0,18235,4,True,0.12,,1,1,33.0,0,3.0,19,15,9,1967,False,variante
