,Unnamed: 0,employee_number,department,job_role,job_level,job_involvement,years_at_company,years_since_last_promotion,years_with_current_manager,training_times_last_year,remote_work,performance_rating,attrition,marital_status,distance_from_home,education,education_field,total_working_years,num_companies_worked
0,0,162,,research director,5,3,20,15,15,5,True,3.0,False,,6,3,,,7
1,1,259,,manager,5,2,33,11,9,5,True,3.0,False,,1,4,life sciences,34.0,0
2,2,319,research & development,manager,5,3,22,11,15,3,True,3.0,False,married,4,2,technical degree,22.0,1
3,5,1900,research & development,manager,4,3,22,4,7,3,True,3.0,False,,22,3,medical,,3
4,6,81,,sales executive,3,3,21,7,9,3,,3.0,False,,25,3,life sciences,28.0,7
5,7,387,,sales executive,2,3,20,11,6,3,False,4.0,False,married,1,1,,20.0,1
6,9,999,,research director,5,3,18,0,11,2,False,3.0,False,,9,3,,21.0,2
7,10,1035,,research director,5,1,21,5,10,3,False,4.0,False,,7,1,,,1
8,13,58,,research director,5,3,22,15,8,0,False,3.0,True,married,12,3,,,1
9,15,558,,manager,5,3,20,1,12,2,False,3.0,False,,2,4,,,0
10,16,825,,research director,5,3,31,13,8,2,False,3.0,True,single,2,4,,40.0,7
11,20,1712,research & development,healthcare representative,3,2,23,14,4,3,False,4.0,False,,1,1,,25.0,3
12,21,73,,research director,3,3,15,8,12,1,,3.0,False,single,1,2,life sciences,15.0,1
13,23,820,,manager,4,3,26,3,0,3,False,3.0,False,married,2,2,other,,1
14,27,1294,,manufacturing director,2,3,16,5,12,2,False,3.0,False,single,2,4,life sciences,18.0,9
15,29,1774,sales,sales executive,2,3,15,0,7,3,True,3.0,False,,10,3,life sciences,15.0,1
16,30,1815,sales,sales executive,3,3,22,13,5,3,True,3.0,False,divorced,37,1,,,0
17,31,1993,research & development,healthcare representative,3,3,17,12,11,3,True,4.0,False,,25,3,medical,25.0,2
18,32,32,,manager,5,3,14,4,8,3,True,3.0,False,,5,3,,26.0,4
19,33,100,,sales executive,2,2,15,2,8,2,False,,False,single,1,4,marketing,16.0,0
20,35,244,,sales executive,3,3,24,15,7,2,True,4.0,False,divorced,1,2,,24.0,1
21,36,327,,manager,4,3,17,1,9,3,True,4.0,False,married,16,3,,22.0,5
22,37,373,research & development,laboratory technician,1,3,15,10,11,4,,3.0,False,married,6,3,life sciences,16.0,0
23,39,729,,sales executive,3,2,18,1,12,2,False,4.0,False,married,5,4,,20.0,5
24,40,830,,manufacturing director,2,2,14,6,8,3,False,3.0,False,married,4,3,,14.0,1
25,42,981,,manager,4,3,17,15,2,3,False,3.0,False,divorced,2,2,medical,22.0,6
26,43,1042,,laboratory technician,1,4,17,15,14,1,True,3.0,True,single,16,4,,18.0,1
27,44,1080,,research scientist,2,2,16,1,7,2,False,4.0,False,divorced,8,4,life sciences,,8
28,45,1995,,sales executive,2,3,15,5,8,3,True,3.0,False,married,1,4,,16.0,0
29,46,145,,healthcare representative,3,2,13,12,8,1,,4.0,False,single,1,4,,23.0,3
30,47,158,,manager,4,3,25,4,12,3,True,3.0,False,married,26,2,,25.0,1
31,48,391,,research scientist,1,3,17,5,7,3,True,3.0,False,single,1,3,life sciences,,1
32,49,436,,sales executive,2,2,13,11,9,2,,3.0,False,married,8,2,technical degree,,1
33,51,1527,,manager,4,3,13,5,1,2,True,3.0,False,,3,3,life sciences,23.0,8
34,53,1866,,manager,5,2,16,6,14,2,True,3.0,False,married,6,3,medical,21.0,7
35,54,2026,,healthcare representative,2,3,13,1,9,2,True,,False,divorced,1,4,life sciences,,1
36,56,107,,research scientist,2,1,13,1,9,3,True,3.0,False,,6,3,medical,17.0,7
37,57,170,,manufacturing director,2,3,15,5,11,2,False,3.0,False,,26,4,medical,16.0,1
38,59,215,,sales executive,3,2,12,2,11,2,True,,False,married,4,4,,15.0,7
39,60,304,,laboratory technician,2,3,13,3,7,3,True,3.0,False,single,5,2,,16.0,8
40,61,529,,research scientist,2,3,13,10,7,2,False,3.0,False,married,25,5,,15.0,3
41,62,691,,research scientist,2,1,17,11,8,3,True,3.0,False,,6,4,,,1
42,63,692,,healthcare representative,2,3,13,4,7,2,False,4.0,False,divorced,6,3,life sciences,15.0,3
43,64,1005,research & development,manufacturing director,4,3,12,1,5,2,False,3.0,False,married,24,3,,22.0,3
44,65,1024,,healthcare representative,3,2,15,4,8,3,True,,False,single,4,4,,27.0,7
45,66,1039,sales,sales executive,4,4,12,11,11,2,True,3.0,False,married,28,3,,,3
46,67,1225,,research scientist,2,3,20,13,17,3,True,4.0,False,single,29,4,,,1
47,68,1375,,healthcare representative,2,4,12,11,8,0,,4.0,False,,25,1,,15.0,5
48,72,1661,,healthcare representative,4,2,15,2,12,3,True,3.0,False,,6,1,life sciences,,2
49,73,1668,,research scientist,2,3,13,2,9,4,,3.0,False,,1,3,life sciences,19.0,7
50,74,1698,,laboratory technician,1,4,14,2,13,6,,3.0,False,,21,3,,14.0,1
51,76,1937,research & development,research scientist,2,2,20,0,7,3,False,3.0,False,divorced,8,3,,20.0,1
52,77,2017,,research director,3,4,16,6,8,2,True,4.0,False,,10,3,life sciences,16.0,1
53,78,117,,healthcare representative,2,2,11,10,8,3,True,,False,married,2,3,,11.0,1
54,79,131,,sales executive,4,3,37,1,8,1,True,3.0,False,single,18,4,,38.0,0
55,80,153,,manager,3,2,11,5,8,6,False,3.0,False,single,5,3,,14.0,2
56,82,307,,sales executive,3,3,16,5,13,6,True,3.0,False,divorced,3,3,life sciences,,0
57,84,374,,manager,5,3,36,4,13,2,True,3.0,False,single,1,3,medical,37.0,0
58,89,524,,manufacturing director,2,3,13,3,12,5,True,3.0,False,married,30,2,,13.0,1
59,90,569,research & development,manager,4,2,27,15,7,2,,3.0,False,married,27,4,life sciences,28.0,0
60,91,899,,manufacturing director,3,2,13,4,8,2,False,,False,married,25,3,technical degree,,3
61,93,1014,research & development,healthcare representative,3,3,16,10,1,3,True,,False,divorced,25,4,,,1
62,95,1117,sales,sales executive,2,2,15,4,12,2,False,3.0,False,married,9,4,life sciences,15.0,1
63,96,1238,research & development,research scientist,1,3,14,4,10,5,False,3.0,False,married,9,3,medical,15.0,0
64,98,1277,,manager,5,1,24,1,11,2,,3.0,True,,13,3,marketing,26.0,2
65,100,1541,,sales representative,1,3,11,5,7,4,False,4.0,False,,7,2,technical degree,12.0,0
66,101,1666,research & development,research director,4,2,14,6,11,3,True,4.0,False,,15,2,,,1
67,102,1696,,laboratory technician,2,2,15,4,13,3,False,3.0,False,,5,2,medical,,1
68,103,1805,,human resources,1,3,11,3,8,3,True,3.0,False,divorced,2,3,,13.0,5
69,105,1932,research & development,research scientist,2,2,15,6,11,3,False,3.0,False,married,22,4,other,16.0,1
70,106,2016,,sales executive,3,3,14,5,7,3,True,3.0,False,,31,4,,14.0,1
71,107,20,,manufacturing director,3,4,10,8,8,1,False,3.0,False,divorced,21,4,life sciences,10.0,1
72,109,184,human resources,human resources,2,3,11,4,7,2,False,3.0,False,married,9,3,,,0
73,110,206,,laboratory technician,2,3,17,0,15,2,True,3.0,False,,9,3,life sciences,20.0,8
74,111,228,,sales executive,3,3,10,7,4,2,,3.0,False,,5,3,,,2
75,112,239,,laboratory technician,2,3,12,6,10,4,True,,False,,9,3,,12.0,1
76,113,256,,manufacturing director,2,2,10,1,9,2,False,3.0,False,married,29,1,,10.0,1
77,115,339,,manufacturing director,2,2,11,5,9,3,True,3.0,False,,39,4,life sciences,13.0,6
78,116,406,,sales executive,3,3,11,6,9,3,True,3.0,False,married,16,3,,12.0,0
79,118,429,,manager,4,3,21,11,10,3,True,,False,married,10,1,,21.0,1
80,120,444,research & development,manager,5,2,21,13,3,2,,3.0,False,married,7,2,,,1
81,121,452,,research scientist,2,3,10,9,8,3,,3.0,False,,8,4,,12.0,9
82,122,456,sales,sales executive,2,2,10,1,2,2,True,3.0,False,,5,3,marketing,10.0,1
83,124,481,,sales executive,3,2,13,1,12,2,,3.0,False,married,3,4,medical,16.0,4
84,125,513,,sales executive,3,2,10,9,0,2,,3.0,False,married,2,2,,10.0,1
85,126,597,,manager,4,3,10,7,7,2,True,4.0,False,single,18,5,,37.0,3
86,127,600,,sales executive,2,3,11,6,9,2,True,3.0,False,,1,3,,15.0,9
87,129,630,,research scientist,2,3,10,6,9,3,True,,False,divorced,6,2,,18.0,3
88,130,638,,research director,5,2,31,0,9,5,True,3.0,False,,18,4,life sciences,,1
89,131,683,research & development,research scientist,1,3,10,8,8,4,True,3.0,False,married,1,5,,,1
90,132,780,,research scientist,1,3,10,7,8,2,False,3.0,True,single,1,4,other,10.0,1
91,133,817,research & development,research director,3,3,13,3,7,3,,3.0,False,married,7,3,medical,,0
