,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,employeenumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NUMCOMPANIESWORKED,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TOTALWORKINGYEARS,TrainingTimesLastYear,WORKLIFEBALANCE,YearsAtCompany,YearsSinceLastPromotion,YEARSWITHCURRMANAGER,DateBirth,RemoteWork
0,False,,684.0,,6,3,,162.0,1.0,M,51,3,5, resEArch DIREcToR ,3,,19537.0,6462,7,False,0.13,3.0,3,0,,5,3.0,20,15,15,1972,True
1,False,,699.0,,1,4,Life Sciences,259.0,3.0,M,65,2,5, ManAGeR ,3,,19999.0,5678,0,,0.14,3.0,1,1,34.0,5,3.0,33,11,9,1971,True
2,False,rarely,532.0, Research & Development ,4,2,Technical Degree,319.0,3.0,M,58,3,5, ManaGER ,4,Married,19232.0,4933,1,False,0.11,3.0,4,0,22.0,3,,22,11,15,1981,True
3,False,rarely,359.0,,2,4,Medical,,1.0,F,82,3,4, ReseArCH DIrECtOr ,3,Married,17169.0,26703,3,,0.19,3.0,2,2,,2,,20,5,6,1976,False
4,False,,1319.0,,3,3,Technical Degree,,1.0,F,45,4,4, sAleS EXECUtIve ,1,Divorced,,7739,2,False,0.12,3.0,4,1,,5,3.0,19,2,8,1977,False
5,False,,117.0, Research & Development ,22,3,Medical,1900.0,4.0,F,58,3,4, MANAger ,4,,17174.0,2437,3,False,0.11,3.0,2,1,,3,3.0,22,4,7,1975,True
6,False,,1435.0,,25,3,Life Sciences,81.0,1.0,F,99,3,3, Sales ExeCutIVe ,1,,,2354,7,,0.11,3.0,4,0,28.0,3,2.0,21,7,9,1964,
7,False,rarely,635.0,,1,1,,387.0,2.0,M,99,3,2, Sales eXEcUTiVe ,3,Married,,24532,1,False,0.25,4.0,3,0,20.0,3,3.0,20,11,6,1981,False
8,False,,1276.0,,2,5,,,2.0,F,91,3,4, mANAGEr ,1,Married,16595.0,5626,7,False,0.16,3.0,2,1,22.0,2,3.0,18,11,8,1982,
9,False,frequently,840.0,,9,3,,999.0,1.0,M,64,3,5, reSEaRCH DIrectoR ,3,,,3735,2,False,0.17,3.0,2,1,21.0,2,4.0,18,0,11,1982,False
10,False,no,247.0,,7,1,,1035.0,2.0,F,55,1,5, RESeArcH DIrEctoR ,3,,19973.0,20284,1,False,0.22,4.0,2,2,,3,3.0,21,5,10,1982,False
11,False,rarely,1369.0,,23,3,Life Sciences,,4.0,M,68,3,4, MANUfACturing DIReCtOr ,2,Married,13402.0,18235,4,True,0.12,,1,1,33.0,0,3.0,19,15,9,1967,False
12,False,,201.0,,10,3,Medical,,2.0,F,99,1,3, REseaRCh dirEcToR ,3,Married,13206.0,3376,3,False,0.12,3.0,1,1,,3,3.0,18,1,11,1985,True
13,True,rarely,1360.0,,12,3,,58.0,2.0,F,49,3,5, reseARCh DIrEctoR ,3,Married,19545.0,16280,1,False,0.12,3.0,4,0,,0,3.0,22,15,8,1982,False
14,False,,692.0,,14,4,Medical,,3.0,M,61,4,5, RESeaRCH dirEctor ,2,Single,,13339,8,False,0.11,3.0,4,0,,3,3.0,24,2,15,1968,
15,False,rarely,1398.0,,2,4,,558.0,3.0,F,79,3,5, MAnAgeR ,3,,18041.0,13022,0,False,0.14,3.0,4,0,,2,3.0,20,1,12,1983,False
16,True,rarely,286.0,,2,4,,825.0,4.0,M,31,3,5, reSeARCh DIrEcToR ,2,Single,19246.0,25761,7,True,0.12,3.0,4,0,40.0,2,3.0,31,13,8,1965,False
17,False,rarely,1402.0,,2,3,,,3.0,F,69,3,4, MAnaGER ,1,,,24097,8,,0.23,4.0,1,0,28.0,2,3.0,26,15,9,1977,False
18,False,,819.0,,13,5,Life Sciences,,2.0,M,48,4,2, REseArcH sciENtiST ,1,Married,,26312,1,,0.11,3.0,4,0,,2,3.0,16,1,10,1988,False
19,False,rarely,884.0,,15,3,Life Sciences,,1.0,F,80,2,3, MAnUFaCtUring dIRecTOr ,3,,,25800,1,,0.13,3.0,4,2,18.0,2,,18,14,12,1983,
20,False,no,1238.0, Research & Development ,1,1,,1712.0,3.0,M,74,2,3, heaLtHcArE repResENtATiVe ,3,,10748.0,3395,3,,0.23,4.0,4,1,25.0,3,2.0,23,14,4,1978,False
