,attrition,business_travel,daily_rate,department,distance_from_home,education,education_field,employee_number,environment_satisfaction,gender,hourly_rate,job_involvement,job_level,job_role,job_satisfaction,marital_status,monthly_income,monthly_rate,num_companies_worked,over_time,percent_salary_hike,performance_rating,relationship_satisfaction,stock_option_level,total_working_years,training_times_last_year,work_life_balance,years_at_company,years_in_current_role,years_since_last_promotion,years_with_current_manager,date_birth,role_departament,remote_work
0,,,684.0,,6,3,,,1,m,51,3,5,research director,3,,19537.0,6462,7,False,0.13,,3,0,,5,3.0,20,,15,15,1972,,
1,,,699.0,,1,4,life sciences,,3,m,65,2,5,manager,3,,19999.0,5678,0,,0.14,,1,1,34.0,5,3.0,33,,11,9,1971,,
2,,rarely,532.0,research & development,4,2,technical degree,,3,m,58,3,5,manager,4,married,19232.0,4933,1,False,0.11,,4,0,22.0,3,,22,,11,15,1981,research & development,
3,,rarely,359.0,,2,4,medical,,1,f,82,3,4,research director,3,married,17169.0,26703,3,,0.19,,2,2,,2,,20,,5,6,1976,,
4,,,1319.0,,3,3,technical degree,,1,f,45,4,4,sales executive,1,divorced,,7739,2,False,0.12,,4,1,,5,3.0,19,,2,8,1977,,
5,,,117.0,research & development,22,3,medical,,4,f,58,3,4,manager,4,,17174.0,2437,3,False,0.11,,2,1,,3,3.0,22,,4,7,1975,research & development,
6,,,1435.0,,25,3,life sciences,,1,f,99,3,3,sales executive,1,,,2354,7,,0.11,,4,0,28.0,3,2.0,21,,7,9,1964,,
7,,rarely,635.0,,1,1,,,2,m,99,3,2,sales executive,3,married,,24532,1,False,0.25,,3,0,20.0,3,3.0,20,,11,6,1981,,
8,,,1276.0,,2,5,,,2,f,91,3,4,manager,1,married,16595.0,5626,7,False,0.16,,2,1,22.0,2,3.0,18,,11,8,1982,,
9,,frequently,840.0,,9,3,,,1,m,64,3,5,research director,3,,,3735,2,False,0.17,,2,1,21.0,2,4.0,18,,0,11,1982,,
10,,no,247.0,,7,1,,,2,f,55,1,5,research director,3,,19973.0,20284,1,False,0.22,,2,2,,3,3.0,21,,5,10,1982,,
11,,rarely,1369.0,,23,3,life sciences,,4,m,68,3,4,manufacturing director,2,married,13402.0,18235,4,True,0.12,,1,1,33.0,0,3.0,19,,15,9,1967,,
12,,,201.0,,10,3,medical,,2,f,99,1,3,research director,3,married,13206.0,3376,3,False,0.12,,1,1,,3,3.0,18,,1,11,1985,,
13,,rarely,1360.0,,12,3,,,2,f,49,3,5,research director,3,married,19545.0,16280,1,False,0.12,,4,0,,0,3.0,22,,15,8,1982,,
14,,,692.0,,14,4,medical,,3,m,61,4,5,research director,2,single,,13339,8,False,0.11,,4,0,,3,3.0,24,,2,15,1968,,
15,,rarely,1398.0,,2,4,,,3,f,79,3,5,manager,3,,18041.0,13022,0,False,0.14,,4,0,,2,3.0,20,,1,12,1983,,
16,,rarely,286.0,,2,4,,,4,m,31,3,5,research director,2,single,19246.0,25761,7,True,0.12,,4,0,40.0,2,3.0,31,,13,8,1965,,
17,,rarely,1402.0,,2,3,,,3,f,69,3,4,manager,1,,,24097,8,,0.23,,1,0,28.0,2,3.0,26,,15,9,1977,,
18,,,819.0,,13,5,life sciences,,2,m,48,4,2,research scientist,1,married,,26312,1,,0.11,,4,0,,2,3.0,16,,1,10,1988,,
19,,rarely,884.0,,15,3,life sciences,,1,f,80,2,3,manufacturing director,3,,,25800,1,,0.13,,4,2,18.0,2,,18,,14,12,1983,,
20,,no,1238.0,research & development,1,1,,,3,m,74,2,3,healthcare representative,3,,10748.0,3395,3,,0.23,,4,1,25.0,3,2.0,23,,14,4,1978,research & development,
21,,,515.0,,1,2,life sciences,,1,f,98,3,3,research director,4,single,,15146,1,True,0.12,,3,0,15.0,1,3.0,15,,8,12,1990,,
22,,,1223.0,,8,3,,,3,f,59,3,3,healthcare representative,3,divorced,,8202,1,,0.13,,2,3,17.0,2,3.0,17,,12,8,1987,,
23,,,202.0,,2,2,other,,3,f,33,3,4,manager,4,married,16752.0,12982,1,,0.11,,3,1,,3,2.0,26,,3,0,1976,,
24,,rarely,928.0,,42,2,life sciences,,42,m,56,3,2,sales executive,4,,6201.0,2823,1,,0.14,,4,1,18.0,1,,18,,4,11,1987,,
25,,,607.0,,9,3,life sciences,,4,f,66,2,3,manufacturing director,3,married,,23457,1,True,0.2,,2,1,17.0,2,3.0,17,,5,15,1988,,
26,,,266.0,,2,1,,,1,f,57,1,5,manager,4,married,19845.0,25846,1,False,0.15,,4,1,33.0,3,3.0,32,,6,9,1971,,
27,,,429.0,,2,4,life sciences,,3,f,53,3,2,manufacturing director,2,single,,2323,9,True,0.11,,4,0,18.0,2,3.0,16,,5,12,1987,,
28,,rarely,589.0,,28,4,life sciences,,2,m,79,3,2,laboratory technician,3,married,,22949,1,,0.12,,2,1,15.0,3,3.0,15,,5,7,1990,,
29,,no,,sales,10,3,life sciences,,4,m,87,3,2,sales executive,3,,4001.0,12313,1,True,0.14,,3,1,15.0,3,3.0,15,,0,7,1989,sales,
30,,,,sales,37,1,,,37,f,81,3,3,sales executive,3,divorced,10447.0,26458,0,,0.13,,4,1,,3,4.0,22,,13,5,1982,sales,
31,,,1180.0,research & development,25,3,medical,,1,m,84,3,3,healthcare representative,3,,,13084,2,,0.23,,2,0,25.0,3,3.0,17,,12,11,1976,research & development,
32,,rarely,1282.0,,5,3,,,3,f,58,3,5,manager,3,,,10735,4,,0.11,,4,1,26.0,3,2.0,14,,4,8,1970,,
33,,,776.0,,1,4,marketing,,3,m,32,2,2,sales executive,1,single,,23016,0,False,0.14,,2,0,16.0,2,3.0,15,,2,8,1988,,
34,,rarely,665.0,,6,4,other,,1,f,41,3,2,research scientist,3,single,,12482,1,,0.14,,3,0,16.0,3,3.0,16,,2,10,1989,,
35,,rarely,526.0,,1,2,,,2,f,92,3,3,sales executive,1,divorced,,2137,1,False,0.25,,3,3,24.0,2,3.0,24,,15,7,1977,,
36,,,1034.0,,16,3,,,4,f,80,3,4,manager,4,married,16064.0,7744,5,,0.22,,3,1,22.0,3,3.0,17,,1,9,1980,,
37,,,1403.0,research & development,6,3,life sciences,,4,m,47,3,1,laboratory technician,4,married,3210.0,20251,0,,0.11,,3,1,16.0,4,3.0,15,,10,11,1987,research & development,
38,,frequently,1499.0,,28,3,,,3,f,80,2,3,sales executive,1,married,10266.0,2845,4,False,0.19,,4,0,22.0,5,4.0,18,13.0,13,11,1963,,
39,,frequently,580.0,,5,4,,,4,m,48,2,3,sales executive,1,married,10475.0,23772,5,True,0.21,,3,1,20.0,2,3.0,18,,1,12,1983,,
40,,rarely,859.0,,4,3,,,3,f,98,2,2,manufacturing director,3,married,6162.0,19124,1,False,0.12,,3,1,14.0,3,3.0,14,,6,8,1991,,
41,,rarely,263.0,,35,3,,,35,m,59,3,1,laboratory technician,1,single,4721.0,3119,2,True,0.13,,3,0,20.0,3,3.0,18,,2,17,1982,,
42,,,1376.0,,2,2,medical,,3,m,,3,4,manager,3,divorced,,13938,6,False,0.13,,3,1,22.0,3,4.0,17,,15,2,1970,,
43,,rarely,885.0,,16,4,,,3,f,43,4,1,laboratory technician,1,single,,8269,1,,0.16,,3,0,18.0,1,3.0,17,,15,14,1987,,
44,,,1003.0,,8,4,life sciences,,4,f,74,2,2,research scientist,1,divorced,4615.0,21029,8,True,0.23,,1,3,,2,3.0,16,,1,7,1977,,
45,,rarely,1321.0,,1,4,,,4,m,86,3,2,sales executive,2,married,,7636,0,False,0.15,,1,2,16.0,3,,15,,5,8,1985,,
