,age,attrition,business_travel,daily_rate,department,distance_from_home,education,education_field,employee_number,environment_satisfaction,gender,hourly_rate,job_involvement,job_level,job_role,job_satisfaction,marital_status,monthly_income,monthly_rate,num_companies_worked,over18,over_time,percent_salary_hike,performance_rating,relationship_satisfaction,standard_hours,stock_option_level,total_workin_gyears,training_times_last_year,work_life_balance,years_at_company,years_in_current_role,years_since_last_promotion,years_with_curr_manager,same_as_monthly_income,date_birth,salary,role_departament,remote_work
0,51,False,,684.0,,6,3,,162.0,1,M,51,3,5, resEArch DIREcToR ,3,,19537.0,6462,7,True,False,0.13,3.0,3,,0,,5,3.0,20,,15,15,19537.0,1972,1000000000.0,nan,True
1,52,False,,699.0,,1,4,Life Sciences,259.0,3,M,65,2,5, ManAGeR ,3,,19999.0,5678,0,,,0.14,3.0,1,,1,34.0,5,3.0,33,,11,9,19999.0,1971,1000000000.0,nan,True
2,42,False,rarely,532.0, Research & Development ,4,2,Technical Degree,319.0,3,M,58,3,5, ManaGER ,4,Married,19232.0,4933,1,,False,0.11,3.0,4,,0,22.0,3,,22,,11,15,19232.0,1981,1000000000.0,Research & Development,True
3,47,False,rarely,359.0,,2,4,Medical,,1,F,82,3,4, ReseArCH DIrECtOr ,3,Married,17169.0,26703,3,True,,0.19,3.0,2,,2,,2,,20,,5,6,17169.0,1976,1000000000.0,nan,False
4,46,False,,1319.0,,3,3,Technical Degree,,1,F,45,4,4, sAleS EXECUtIve ,1,Divorced,,7739,2,True,False,0.12,3.0,4,,1,,5,3.0,19,,2,8,,1977,1000000000.0,nan,False
5,48,False,,117.0, Research & Development ,22,3,Medical,1900.0,4,F,58,3,4, MANAger ,4,,17174.0,2437,3,,False,0.11,3.0,2,,1,,3,3.0,22,,4,7,17174.0,1975,1000000000.0,Research & Development,True
6,59,False,,1435.0,,25,3,Life Sciences,81.0,1,F,99,3,3, Sales ExeCutIVe ,1,,,2354,7,True,,0.11,3.0,4,,0,28.0,3,2.0,21,,7,9,,1964,1000000000.0,nan,
7,42,False,rarely,635.0,,1,1,,387.0,2,M,99,3,2, Sales eXEcUTiVe ,3,Married,,24532,1,,False,0.25,4.0,3,,0,20.0,3,3.0,20,,11,6,,1981,1000000000.0,nan,False
8,41,False,,1276.0,,2,5,,,2,F,91,3,4, mANAGEr ,1,Married,16595.0,5626,7,,False,0.16,3.0,2,,1,22.0,2,3.0,18,,11,8,16595.0,1982,1000000000.0,nan,
9,41,False,frequently,840.0,,9,3,,999.0,1,M,64,3,5, reSEaRCH DIrectoR ,3,,,3735,2,,False,0.17,3.0,2,,1,21.0,2,4.0,18,,0,11,,1982,1000000000.0,nan,False
10,41,False,no,247.0,,7,1,,1035.0,2,F,55,1,5, RESeArcH DIrEctoR ,3,,19973.0,20284,1,True,False,0.22,4.0,2,,2,,3,3.0,21,,5,10,19973.0,1982,1000000000.0,nan,False
11,56,False,rarely,1369.0,,23,3,Life Sciences,,4,M,68,3,4, MANUfACturing DIReCtOr ,2,Married,13402.0,18235,4,,True,0.12,,1,,1,33.0,0,3.0,19,,15,9,13402.0,1967,1000000000.0,nan,False
12,38,False,,201.0,,10,3,Medical,,2,F,99,1,3, REseaRCh dirEcToR ,3,Married,13206.0,3376,3,True,False,0.12,3.0,1,,1,,3,3.0,18,,1,11,13206.0,1985,1000000000.0,nan,True
13,41,True,rarely,1360.0,,12,3,,58.0,2,F,49,3,5, reseARCh DIrEctoR ,3,Married,19545.0,16280,1,,False,0.12,3.0,4,,0,,0,3.0,22,,15,8,19545.0,1982,1000000000.0,nan,False
14,55,False,,692.0,,14,4,Medical,,3,M,61,4,5, RESeaRCH dirEctor ,2,Single,,13339,8,,False,0.11,3.0,4,,0,,3,3.0,24,,2,15,,1968,1000000000.0,nan,
15,40,False,rarely,1398.0,,2,4,,558.0,3,F,79,3,5, MAnAgeR ,3,,18041.0,13022,0,,False,0.14,3.0,4,,0,,2,3.0,20,,1,12,18041.0,1983,1000000000.0,nan,False
16,58,True,rarely,286.0,,2,4,,825.0,4,M,31,3,5, reSeARCh DIrEcToR ,2,Single,19246.0,25761,7,True,True,0.12,3.0,4,,0,40.0,2,3.0,31,,13,8,19246.0,1965,1000000000.0,nan,False
17,46,False,rarely,1402.0,,2,3,,,3,F,69,3,4, MAnaGER ,1,,,24097,8,,,0.23,4.0,1,,0,28.0,2,3.0,26,,15,9,,1977,1000000000.0,nan,False
18,35,False,,819.0,,13,5,Life Sciences,,2,M,48,4,2, REseArcH sciENtiST ,1,Married,,26312,1,,,0.11,3.0,4,,0,,2,3.0,16,,1,10,,1988,1000000000.0,nan,False
19,40,False,rarely,884.0,,15,3,Life Sciences,,1,F,80,2,3, MAnUFaCtUring dIRecTOr ,3,,,25800,1,True,,0.13,3.0,4,,2,18.0,2,,18,,14,12,,1983,1000000000.0,nan,
20,45,False,no,1238.0, Research & Development ,1,1,,1712.0,3,M,74,2,3, heaLtHcArE repResENtATiVe ,3,,10748.0,3395,3,True,,0.23,4.0,4,,1,25.0,3,2.0,23,,14,4,10748.0,1978,1000000000.0,Research & Development,False
21,33,False,,515.0,,1,2,Life Sciences,73.0,1,F,98,3,3, RESEARCH dIrECtor ,4,Single,,15146,1,,True,0.12,3.0,3,,0,15.0,1,3.0,15,,8,12,,1990,1000000000.0,nan,
22,36,False,,1223.0,,8,3,,,3,F,59,3,3, hEaltHCarE ReprESENTAtIvE ,3,Divorced,,8202,1,True,,0.13,,2,,3,17.0,2,3.0,17,,12,8,,1987,1000000000.0,nan,True
23,47,False,,202.0,,2,2,Other,820.0,3,F,33,3,4, maNagEr ,4,Married,16752.0,12982,1,,,0.11,3.0,3,80.0,1,,3,2.0,26,,3,0,16752.0,1976,1000000000.0,nan,False
24,36,False,rarely,928.0,,42,2,Life Sciences,,42,M,56,3,2, SALEs exeCUtIVe ,4,,6201.0,2823,1,True,,0.14,3.0,4,,1,18.0,1,,18,,4,11,6201.0,1987,1000000000.0,nan,
25,35,False,,607.0,,9,3,Life Sciences,,4,F,66,2,3, manUfACtURing dirEctOR ,3,Married,,23457,1,True,True,0.2,4.0,2,80.0,1,17.0,2,3.0,17,,5,15,,1988,1000000000.0,nan,False
26,52,True,,266.0,,2,1,,,1,F,57,1,5, mAnageR ,4,Married,19845.0,25846,1,True,False,0.15,3.0,4,,1,33.0,3,3.0,32,,6,9,19845.0,1971,1000000000.0,nan,True
27,36,False,,429.0,,2,4,Life Sciences,1294.0,3,F,53,3,2, MaNufActURing dIrecTOr ,2,Single,,2323,9,True,True,0.11,3.0,4,,0,18.0,2,3.0,16,,5,12,,1987,1000000000.0,nan,False
28,33,False,rarely,589.0,,28,4,Life Sciences,,2,M,79,3,2, laBoratOry tecHNiCiaN ,3,Married,,22949,1,True,,0.12,3.0,2,,1,15.0,3,3.0,15,,5,7,,1990,1000000000.0,nan,True
29,34,False,no,, Sales ,10,3,Life Sciences,1774.0,4,M,87,3,2, saLEs exEcutIVe ,3,,4001.0,12313,1,True,True,0.14,3.0,3,,1,15.0,3,3.0,15,,0,7,4001.0,1989,1000000000.0,Sales,True
30,41,False,,, Sales ,37,1,,1815.0,37,F,81,3,3, Sales ExECuTIVe ,3,Divorced,10447.0,26458,0,,,0.13,3.0,4,,1,,3,4.0,22,,13,5,10447.0,1982,1000000000.0,Sales,True
31,47,False,,1180.0, Research & Development ,25,3,Medical,1993.0,1,M,84,3,3, heALthCArE RePResEntaTIVe ,3,,,13084,2,,,0.23,4.0,2,,0,25.0,3,3.0,17,,12,11,,1976,1000000000.0,Research & Development,True
32,53,False,rarely,1282.0,,5,3,,32.0,3,F,58,3,5, ManAgER ,3,,,10735,4,,,0.11,3.0,4,,1,26.0,3,2.0,14,,4,8,,1970,1000000000.0,nan,True
33,35,False,,776.0,,1,4,Marketing,100.0,3,M,32,2,2, salEs EXeCUtIvE ,1,Single,,23016,0,True,False,0.14,,2,80.0,0,16.0,2,3.0,15,,2,8,,1988,1000000000.0,nan,False
34,34,False,rarely,665.0,,6,4,Other,,1,F,41,3,2, rEsEARcH SCIeNTist ,3,Single,,12482,1,True,,0.14,3.0,3,,0,16.0,3,3.0,16,,2,10,,1989,1000000000.0,nan,
35,46,False,rarely,526.0,,1,2,,244.0,2,F,92,3,3, SALEs eXECuTive ,1,Divorced,,2137,1,,False,0.25,4.0,3,,3,24.0,2,3.0,24,,15,7,,1977,1000000000.0,nan,True
36,43,False,,1034.0,,16,3,,327.0,4,F,80,3,4, ManagEr ,4,Married,16064.0,7744,5,,,0.22,4.0,3,,1,22.0,3,3.0,17,,1,9,16064.0,1980,1000000000.0,nan,True
37,36,False,,1403.0, Research & Development ,6,3,Life Sciences,373.0,4,M,47,3,1, lABORAtOry tECHnIcIan ,4,Married,3210.0,20251,0,,,0.11,3.0,3,,1,16.0,4,3.0,15,,10,11,3210.0,1987,1000000000.0,Research & Development,
38,60,False,frequently,1499.0,,28,3,,,3,F,80,2,3, Sales exEcUtiVe ,1,Married,10266.0,2845,4,True,False,0.19,3.0,4,,0,22.0,5,4.0,18,13.0,13,11,10266.0,1963,1000000000.0,nan,True
39,40,False,frequently,580.0,,5,4,,729.0,4,M,48,2,3, saLes eXEcUTIVE ,1,Married,10475.0,23772,5,,True,0.21,4.0,3,80.0,1,20.0,2,3.0,18,,1,12,10475.0,1983,1000000000.0,nan,False
40,32,False,rarely,859.0,,4,3,,830.0,3,F,98,2,2, maNufactUring DIrEcToR ,3,Married,6162.0,19124,1,True,False,0.12,3.0,3,80.0,1,14.0,3,3.0,14,,6,8,6162.0,1991,1000000000.0,nan,False
41,41,False,rarely,263.0,,35,3,,,35,M,59,3,1, LaboRAtorY TecHNiCiAn ,1,Single,4721.0,3119,2,,True,0.13,,3,,0,20.0,3,3.0,18,,2,17,4721.0,1982,1000000000.0,nan,True
42,53,False,,1376.0,,2,2,Medical,981.0,3,M,,3,4, ManageR ,3,Divorced,,13938,6,,False,0.13,3.0,3,,1,22.0,3,4.0,17,,15,2,,1970,1000000000.0,nan,False
43,36,True,rarely,885.0,,16,4,,1042.0,3,F,43,4,1, LABorAToRY tECHnIciAN ,1,Single,,8269,1,True,,0.16,3.0,3,80.0,0,18.0,1,3.0,17,,15,14,,1987,1000000000.0,nan,True
44,46,False,,1003.0,,8,4,Life Sciences,1080.0,4,F,74,2,2, RESEarch SCIenTisT ,1,Divorced,4615.0,21029,8,,True,0.23,4.0,1,,3,,2,3.0,16,,1,7,4615.0,1977,1000000000.0,nan,False
45,38,False,rarely,1321.0,,1,4,,1995.0,4,M,86,3,2, SalES exECUTIve ,2,Married,,7636,0,,False,0.15,3.0,1,,2,16.0,3,,15,,5,8,,1985,1000000000.0,nan,True
46,51,False,,,,1,4,,145.0,1,F,30,2,3, heAltHCare rEPrESEntaTIvE ,1,Single,,25796,3,,,0.2,4.0,3,,0,23.0,1,2.0,13,,12,8,,1972,1000000000.0,nan,
47,43,False,,394.0,,26,2,,158.0,3,M,92,3,4, maNaGeR ,4,Married,16959.0,19494,1,,True,0.12,3.0,4,80.0,2,25.0,3,4.0,25,,4,12,16959.0,1980,1000000000.0,nan,True
48,37,False,,1372.0,,1,3,Life Sciences,391.0,4,F,42,3,1, ResEARCh SciENTist ,4,Single,,15881,1,,False,0.12,3.0,2,80.0,0,,3,3.0,17,,5,7,,1986,1000000000.0,nan,True
49,32,False,rarely,,,8,2,Technical Degree,436.0,3,F,65,2,2, salES ExecuTIve ,2,Married,,24624,1,,True,0.11,3.0,4,80.0,0,,2,3.0,13,12.0,11,9,,1991,1000000000.0,nan,
50,38,False,,1333.0,,1,3,,,4,F,80,3,3, ReSeaRch directOR ,1,Married,,16292,1,,,0.13,3.0,2,,1,15.0,3,3.0,15,,5,11,,1985,1000000000.0,nan,False
51,46,False,,228.0,,3,3,Life Sciences,1527.0,3,F,51,3,4, mAnAgER ,2,,,11380,8,,False,0.12,3.0,4,80.0,1,23.0,2,4.0,13,,5,1,,1977,1000000000.0,nan,True
52,35,True,rarely,737.0,,10,3,Medical,,4,M,55,2,3, sAles EXecuTive ,1,Married,10306.0,21530,9,,,0.17,3.0,3,,0,15.0,3,,13,,6,0,10306.0,1988,1000000000.0,nan,False
53,43,False,,823.0,,6,3,Medical,1866.0,1,F,81,2,5, MaNAGEr ,3,Married,,22539,7,,False,0.13,3.0,4,,0,21.0,2,3.0,16,,6,14,,1980,1000000000.0,nan,True
54,56,False,no,667.0,,1,4,Life Sciences,2026.0,3,M,57,3,2, hEALThcArE REPrESeNTATive ,3,Divorced,,26236,1,True,False,0.21,,1,,1,,2,2.0,13,,1,9,,1967,1000000000.0,nan,True
55,36,False,no,301.0,,15,4,Marketing,,4,M,88,1,2, SAlES ExECuTIVe ,4,divorced,5406.0,10436,1,True,False,0.24,4.0,1,80.0,1,,4,2.0,15,,11,11,5406.0,1987,1000000000.0,nan,True
56,38,False,,573.0,,6,3,Medical,107.0,2,F,79,1,2, rEseARch SCieNtIsT ,4,,,15717,7,True,,0.12,3.0,4,,3,17.0,3,3.0,13,,1,9,,1985,1000000000.0,nan,True
57,49,False,,,,26,4,Medical,170.0,3,F,96,3,2, maNufActUrInG DIrECtOr ,1,,,5549,1,,False,0.14,3.0,3,,0,16.0,2,2.0,15,,5,11,,1974,1000000000.0,nan,False
58,39,False,rarely,1329.0,,4,4,Life Sciences,,4,F,47,2,2, sALEs eXeCuTIvE ,3,Married,5902.0,14590,4,,,0.14,3.0,3,80.0,1,17.0,1,4.0,15,,5,9,5902.0,1984,1000000000.0,nan,True
59,40,False,,630.0,,4,4,,215.0,3,M,67,2,3, SALES eXECUtiVE ,4,Married,10855.0,8552,7,True,False,0.11,,1,,1,15.0,2,2.0,12,,2,11,10855.0,1983,1000000000.0,nan,True
60,36,False,,,,5,2,,304.0,4,M,62,3,2, lAboratORy TeChNiCiaN ,2,Single,5914.0,9945,8,True,False,0.16,3.0,4,80.0,0,16.0,3,4.0,13,,3,7,5914.0,1987,1000000000.0,nan,True
61,37,False,,1063.0,,25,5,,529.0,2,F,72,3,2, RESEaRCh sCIENtIst ,3,Married,,23866,3,True,True,0.15,3.0,1,80.0,2,15.0,2,3.0,13,,10,7,,1986,1000000000.0,nan,False
62,35,False,,1017.0,,6,4,,691.0,2,M,82,1,2, REsEarcH sCieNTISt ,4,,6646.0,19368,1,True,,0.13,3.0,2,,0,,3,3.0,17,,11,8,6646.0,1988,1000000000.0,nan,True
63,33,False,frequently,1296.0,,6,3,Life Sciences,692.0,3,M,,3,2, heaLthCaRE ReprEseNtaTiVe ,4,Divorced,,5335,3,,False,0.23,4.0,3,,1,15.0,2,1.0,13,,4,7,,1990,1000000000.0,nan,False
64,50,False,rarely,939.0, Research & Development ,24,3,,1005.0,4,M,,3,4, ManufactUrINg DiReCTOr ,3,Married,13973.0,4161,3,,True,0.18,3.0,4,,1,22.0,2,3.0,12,,1,5,13973.0,1973,1000000000.0,Research & Development,False
65,48,False,rarely,1355.0,,4,4,,1024.0,3,M,78,2,3, HEaLthcAre REPrEsEntaTIvE ,3,Single,,22245,7,,,0.14,,2,80.0,0,27.0,3,3.0,15,11.0,4,8,,1975,1000000000.0,nan,True
66,44,False,rarely,1448.0, Sales ,28,3,,1039.0,4,F,53,4,4, SaleS eXEcUtIVE ,4,Married,13320.0,11737,3,,,0.18,3.0,3,80.0,1,,2,3.0,12,,11,11,13320.0,1979,1000000000.0,Sales,True
67,44,False,rarely,200.0,,29,4,,1225.0,4,M,32,3,2, reseaRCH ScIEntIst ,4,Single,,7744,1,True,,0.25,4.0,2,,0,,3,3.0,20,,13,17,,1979,1000000000.0,nan,True
68,40,False,,1202.0,,25,1,,1375.0,25,F,89,4,2, HEAlTHcaRe ReprESeNtatIVe ,3,,,13888,5,,False,0.2,4.0,2,,3,15.0,0,3.0,12,,11,8,,1983,1000000000.0,nan,
